CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
237156428,12/10/2011,01:15:00,,,70,12/10/2011,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,996007,173428,,BLACK,M,,40.642696823,-73.957636789,"(40.642696823, -73.957636789)",PATROL BORO BKLYN SOUTH,,18-24,BLACK,F
952625489,06/06/2009,23:30:00,06/06/2009,23:31:00,33,06/08/2009,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,NA,,NA,1001079,246492,,WHITE HISPANIC,F,,40.843230972,-73.93917778,"(40.843230972, -73.93917778)",PATROL BORO MAN NORTH,,18-24,WHITE HISPANIC,F
178927208,11/25/2006,11:30:00,11/25/2006,11:35:00,83,11/25/2006,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BROOKLYN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1006700,196809,,,,,40.70685174,-73.919028249,"(40.70685174, -73.919028249)",PATROL BORO BKLYN NORTH,,25-44,ASIAN / PACIFIC ISLANDER,M
227181757,05/13/2009,18:45:00,05/13/2009,18:45:00,123,05/18/2009,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,932512,143367,45-64,WHITE HISPANIC,M,,40.560042335,-74.186201336,"(40.560042335, -74.186201336)",PATROL BORO STATEN ISLAND,,45-64,WHITE,F
997717125,10/25/2007,14:50:00,10/25/2007,15:00:00,122,10/25/2007,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,,STREET,N.Y. POLICE DEPT,0,NA,,NA,948714,148017,,BLACK,M,,40.572885402,-74.127916496,"(40.572885402, -74.127916496)",PATROL BORO STATEN ISLAND,,<18,WHITE,F
536703793,06/26/2008,16:00:00,,,9,06/26/2008,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,GYM/FITNESS FACILITY,N.Y. POLICE DEPT,0,NA,,NA,986387,204822,,,,,40.728873724,-73.992291119,"(40.728873724, -73.992291119)",PATROL BORO MAN SOUTH,,25-44,WHITE HISPANIC,F
527412587,02/22/2006,07:30:00,02/22/2006,19:15:00,71,02/22/2006,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,997155,182569,,,,,40.667785271,-73.953482647,"(40.667785271, -73.953482647)",PATROL BORO BKLYN SOUTH,,,BLACK,F
331916524,07/18/2009,19:30:00,07/18/2009,20:11:00,66,07/18/2009,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,992825,164071,,,,,40.617017481,-73.969114554,"(40.617017481, -73.969114554)",PATROL BORO BKLYN SOUTH,,18-24,WHITE,M
736698000,09/03/2008,01:40:00,09/03/2008,01:55:00,52,09/03/2008,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1010975,255273,25-44,BLACK,M,,40.867307784,-73.903376497,"(40.867307784, -73.903376497)",PATROL BORO BRONX,,25-44,BLACK HISPANIC,F
118525853,01/17/2008,20:00:00,01/17/2008,20:12:00,23,01/17/2008,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,CARVER,NA,998442,227825,,,,,40.791999933,-73.948747942,"(40.791999933, -73.948747942)",PATROL BORO MAN NORTH,,18-24,WHITE HISPANIC,M
